run_date,ticker,pred,price_at_run,sup,res,settle_date,settle_close,realized_return,hit,status,updated_at
2026-01-05,TIA-USD,9.836609840393066,0.459,0.3921,0.566,2026-01-10,,,,pending,2026-01-05 03:56:06
2026-01-05,UNI-USD,0.0657009109854698,0.0002,0.0001,0.0002,2026-01-10,,,,pending,2026-01-05 03:56:06
2026-01-05,AAVE-USD,0.0560898073017597,149.3,128.52,188.16,2026-01-10,,,,pending,2026-01-05 03:56:06
2026-01-05,ARB-USD,0.0525420904159545,0.0011,0.001,0.0011,2026-01-10,,,,pending,2026-01-05 03:56:06
2026-01-05,FTM-USD,0.0344200506806373,0.6925,0.5096,0.987,2026-01-10,,,,pending,2026-01-05 03:56:06
2026-01-05,ICP-USD,0.0181283224374055,2.8342,2.5649,3.2912,2026-01-10,,,,pending,2026-01-05 10:42:12
2026-01-06,TIA-USD,28.04456329345703,0.4553,0.3906,0.5615,2026-01-11,,,,pending,2026-01-06 10:30:30
2026-01-06,ARB-USD,0.07680978626012802,0.0011,0.001,0.0011,2026-01-11,,,,pending,2026-01-06 10:30:30
2026-01-06,UNI-USD,0.07337270677089691,0.0002,0.0001,0.0002,2026-01-11,,,,pending,2026-01-06 10:30:30
2026-01-06,AAVE-USD,0.03269220143556595,146.16,124.47,187.05,2026-01-11,,,,pending,2026-01-06 10:30:30
2026-01-06,SHIB-USD,0.03024083375930786,0.0,0.0,0.0,2026-01-11,,,,pending,2026-01-06 10:30:30
